NombreServicioTuristico,ClasificacionId,Clasificacion,CategoriaId,Categoria,SubCategoriaId,SubCategoria,Direccion,CorreoElectronico,SitioWeb,Telefono,CodDepartamento,CodProvincia,CodDistrito,NombreDepartamento,NombreProvincia,NombreDistrito,Ruc,Siglas,NombreEmpresa,FechaRegistroDatosEmpresa,FechaActualizacionDatosEmpresa
Imperio Kallpa Hostal,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220103,Hostales,22010302,Hs.2 Estrellas,Jr. Ortiz Arrieta N?370,danisulcacampon9@gmail.com,"",924765008 / 939827436,1,1,1,Amazonas,Chachapoyas,Chachapoyas,10166159330,Imperio Kallpa Hostal,Dani Sulca Campon,31/10/2024,31/10/2024
Hostal ?u?urco Travellers,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220101,Hoteles,22010104,H.2 Estrellas,Ortiz Arrieta 186,nunurcochachapoyas@hotmail.com,www.nunurcotravelers.com,(041) 477-845 / 972609932,1,1,1,Amazonas,Chachapoyas,Chachapoyas,20539251971,Hostal ?u?urco Travellers,?u?urco Travellers Servicios Tur?sticos E.I.R.L.,20/07/2012,4/10/2024
Sabor y Arte,2202,ALIMENTOS Y BEBIDAS,220203,Restaurantes Pescados & Mariscos,220203,Restaurantes Pescados & Mariscos,Av. Republica del Per? 218,"","",(072) 507890 / 956542319,24,3,2,Tumbes,Zarumilla,Aguas Verdes,10472176213,Sabor y Arte,Andrea Sanchez Bermeo,22/04/2022,1/10/2024
Huanchaco,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,"Cl. Rodolfo Beltr?n 199, Santa Catalina",restauranthuanchaco@hotmail.com,"",(01) 224-0105 / 946025994,15,1,15,Lima,Lima,La Victoria,20122621830,Huanchaco,Inversiones Virgen de la Puerta S.R.L.,13/10/2014,18/10/2024
Cebicherias Piscis,2202,ALIMENTOS Y BEBIDAS,220203,Restaurantes Pescados & Mariscos,220203,Restaurantes Pescados & Mariscos,Av. Per? 1642,pisc.avperu@gmail.com,www.piscis.pe,934944273,15,1,35,Lima,Lima,San Mart?n de Porres,20603734131,Cebicherias Piscis,Piscis Buffet & Catering E.I.R.L.,20/10/2014,23/10/2024
Aventura Inka Tour,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Calle Jun?n 59 / Av. San Martin 256,hola@aventurainka.com.pe; reservas@aventurainka.com.pe,www.aventurainka.com.pe,952499426 / 995010447,23,1,1,Tacna,Tacna,Tacna,20600266684,Aventura Inka Tour,Grupo Huillca Inversiones EIRL,14/10/2015,17/10/2024
Machupicchu Tour Travel Company,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,V?a Torrechayoc L-D-7,info@machupicchu-tours.com,www.machupicchu-tours.com,974378488,8,1,1,Cusco,Cusco,Cusco,20605872329,Machupicchu Tour Travel Company,Machupicchu Tours & South America E.I.R.L.,7/10/2024,7/10/2024
Los Herrajes Vivencial,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,Av. Larco 1020 -  El Boquer?n,"",https://www.losherrajes.com/,(044) 461397,13,1,4,La Libertad,Trujillo,Huanchaco,10179182179,Los Herrajes Vivencial,"CRUZ DE GOICOCHEA, LUZGARDIZ EMERITA",5/06/2013,21/10/2024
Casa de cambio El Tumi,2219,SERVICIOS COMPLEMENTARIOS,221903,Casas de Cambio,221903,Casas de Cambio,Av. Ernesto Rivero 827,edwinquispe0611@gmail.com,"",082 793224 / 924 135 223,17,1,1,Madre de Dios,Tambopata,Tambopata,10451599203,Casa de cambio El Tumi,Edwin Quispe Molleapaza,23/07/2022,28/10/2024
Restaurante Maraycha,2202,ALIMENTOS Y BEBIDAS,220213,Restaurante 2 Tenedores,220213,Restaurante 2 Tenedores,Aprovisa Canan Alto Mz I1 Lte 12,challapavictor20@gmail.com,www.https://maraycha.ueniweb.com/,955207121,5,1,16,Ayacucho,Huamanga,Andr?s Avelino C?ceres Dorregaray,10282960236,Restaurante Maraycha,Biviana Elena Challapa Zevallos,24/10/2024,24/10/2024
Q?inti,2205,AGENCIAS DE VIAJES Y TURISMO,220502,Agencias Minoristas,220502,Agencias Minoristas,Av. Larco 880 oficina 710 (Exclusivamente Digital),contact@q-inti.com,www.qintiviajes.com,961763936,15,1,22,Lima,Lima,Miraflores,20537667495,Q?inti,Qinti Viajes S.A.C,21/05/2024,26/10/2024
Sumaq Puno,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220103,Hostales,22010301,Hs.3 Estrellas,Jr. Cajamarca N? 554,sumaqpuno@gmail.com,www.sumaqpuno.com,051 450177 /946194005,21,1,1,Puno,Puno,Puno,10428404802,Sumaq Puno,Yanina Vergara Escobar,1/10/2024,1/10/2024
Manhattan,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,Jr. Santa Rosa 253 (Ex Jr. Mir? Quesada),manhattanlima253@gmail.com,"",(01) 427-4281 / (01) 428-2117 / 943098576,15,1,1,Lima,Lima,Cercado de Lima,20112816993,Manhattan,El Paso S.A.C.,8/11/2010,17/10/2024
Empresa de Turismo Flycka,2203,TRANSPORTE,220301,Terrestre,22030103,Taxis,Jr. Francisco Bolognesi 1001,flycka@Outlook.com,"",948068464,12,4,1,Jun?n,Jauja,Jauja,20603775717,Empresa de Turismo Flycka,"Empresa de Turismo, Hoteler?a y Gastronom?a The Flycka E.I.R.L. - The Flycka E.I.R.L.",18/10/2024,18/10/2024
Refugios Salkantay,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Prolongaci?n Nueva Alta 48,admirefugios2023@gmail.com; sales@refugiossalkantay.com,www.refugiossalkantay.com,974229695 / 953807016 / 984372258,8,1,1,Cusco,Cusco,Cusco,20602393829,Refugios Salkantay,Refugio Salkantay S.A.C.,15/05/2018,7/10/2024
Tours TrekPeru,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Av. Los Pinos 1336 - Urb. Santa Mar?a,info@trekperu.com,www.tourstrekperu.com,969168622 / 969070186,8,1,5,Cusco,Cusco,San Sebasti?n,20600706897,Tours TrekPeru,Inversiones TP E.I.R.L.,21/12/2021,7/10/2024
Hostal Priv?,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220103,Hostales,22010303,Hs.1 Estrella,Jr. Tarapac? 126,Hotelprive.ayp@gmail.com,https://hotelpriveayacucho.netlify.app,(066467058) 926775658,5,1,16,Ayacucho,Huamanga,Andr?s Avelino C?ceres Dorregaray,10426124772,Hostal Priv?,Miguel Valdez Yupanqui,30/10/2024,31/10/2024
Centro Vacacional Huampan?,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220101,Hoteles,22010104,H.2 Estrellas,Carretera Central Km 24.5 (Altura del Mercado de Chaclacayo),ventas.reservas@huampani.gob.pe,www.huampani.gob.pe,998157403,15,1,18,Lima,Lima,Lurigancho,20155140942,Centro Vacacional Huampan?,Centro Vacacional Huampan?,3/10/2002,23/10/2024
La Rocca,2202,ALIMENTOS Y BEBIDAS,220206,Caf?s,220206,Caf?s,"Av. Nicol?s Arriola 499, Santa Catalina",laroccacafe@hotmail.com,"",954709333,15,1,15,Lima,Lima,La Victoria,20100809321,La Rocca,La Rocca S.A.C,20/10/2014,18/10/2024
Ecoturismo Lunahuana,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Jr. Miguel Grau 330,efrainraft90@gmail.com,"",993293683,15,5,8,Lima,Ca?ete,Lunahuan?,10462302962,Ecoturismo Lunahuana,Yactayo S?nchez Jaime Efra?n,24/01/2023,31/10/2024
Hotel Para?so,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220101,Hoteles,22010103,H.3 Estrellas,Jr. San Mart?n 240,ventastru@hotelesparaiso.com.pe,www.hotelesparaiso.com.pe,958100066,13,1,1,La Libertad,Trujillo,Trujillo,20601704774,Hotel Para?so,HOTELIER S.A.C,22/10/2002,3/10/2024
Personal Travel Experience,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Cl. Fierro 546,reservations@shareinperu.com,http://www.shareinperu.com/,984951003 / 984951004,8,1,1,Cusco,Cusco,Cusco,20490162551,Personal Travel Experience,Personal Travel Experience S.A.C.,26/07/2017,7/10/2024
Estrella,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220101,Hoteles,22010103,H.3 Estrellas,Jr. Marcos Canepa 389 Cdra. 3,hostal2estrella@gmail.com,"",996032668,19,3,7,Pasco,Oxapampa,Villa Rica,10043294399,Estrella,Estrella Contreras Teodoro Palomino,22/10/2013,2/10/2024
Gocta Natura,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220107,Hospedaje no Categorizado,220107,Hospedaje no Categorizado,Caser?o de Cocachimba,info@goctanatura.com,www.goctanatura.com,993508637,1,3,11,Amazonas,Bongar?,Valera,20535930890,Gocta Natura,Gocta Natura S.A.C,7/02/2023,4/10/2024
Villa Chicken,2202,ALIMENTOS Y BEBIDAS,220217,Poller?a,220217,Poller?a,Jr. Ica 157,contacto@villachicken.com.pe,www.villachicken.com.pe/villaweb,(01) 500 - 8800,15,1,1,Lima,Lima,Cercado de Lima,20511235066,Villa Chicken,Villa Chicken SAC,5/09/2023,17/10/2024
Agencia de Viajes Kusisqa Travel,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Urb. Los Sauces F-2-A,reservas@kusisqatravel.com,www.kusisqatravel.com/,984020933,8,1,8,Cusco,Cusco,Wanchaq,20602916368,Agencia de Viajes Kusisqa Travel,Kusisqa Travel E.I.R.L.,15/10/2024,15/10/2024
Cl?nica Ginmedic,2208,SALUD,220802,Cl?nicas,220802,Cl?nicas,Pj. Antonio Raymondi 132 - Barrio San Francisco,gerencia@clinicaginmedic.com,www.clinicaginmedic.com,(043) 4711666 / 943117137,2,1,1,?ncash,Huaraz,Huaraz,20530793771,Cl?nica Ginmedic,Ginmedic E.I.R.L.,23/10/2024,23/10/2024
Chifa Tokio,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,Jr. Benigno Dorregray 549,"","",920163262,12,9,1,Jun?n,Chupaca,Chupaca,10772143503,Chifa Tokio,Vilcatoma Romani Ana Fabiola,29/10/2024,29/10/2024
Kaypi Peru,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Urb. Cuatro Torres Pje. Kawarina A-5 Dpto A 101,info@kaypiperutours.com,www.kaypiperutours.com,992832337 / 974664422,8,1,8,Cusco,Cusco,Wanchaq,20563954826,Kaypi Peru,Kaypi Per? S.C.R.L.,19/03/2021,7/10/2024
Unami Chicken,2202,ALIMENTOS Y BEBIDAS,220217,Poller?a,220217,Poller?a,Jr. Miguel Grau 514 Tumbes,rodriguezlili2808@gmail.com,"",999343651,24,1,1,Tumbes,Tumbes,Tumbes,20607242721,Unami Chicken,20607242721 - INVERSIONES Y GESTIONES GENERALES S.A.C.,24/10/2024,24/10/2024
Jano's,2202,ALIMENTOS Y BEBIDAS,220207,Fast Foods,220207,Fast Foods,Av. Espa?a 195,"",.,(044)  24-1268,13,1,1,La Libertad,Trujillo,Trujillo,20213370481,Jano's,Sandwicheria Jano's S.R.L,28/08/2003,17/10/2024
Mako's Tours,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Cl. Triunfo M-8 Residencial Huancaro,makostours@hotmail.com,www.makostours.com,(084) 240040 / 984708593,8,1,6,Cusco,Cusco,Santiago,20491238179,Mako's Tours,Inversiones Mako's S.R.L,22/06/2017,7/10/2024
Lucky Star,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220101,Hoteles,22010103,H.3 Estrellas,Av. Santa Victoria 777 - Urb. Santa Victoria.,reservas@hotelluckystar.com,https://www.hotelluckystar.com/,978 011 483,14,1,1,Lambayeque,Chiclayo,Chiclayo,20479852856,Lucky Star,LUCKY STAR E.I.R.L.,6/05/2024,14/10/2024
El Canton?s,2202,ALIMENTOS Y BEBIDAS,220221,Chifas,220221,Chifas,Av. Espa?a 2338,"","",(044) 299990,13,1,1,La Libertad,Trujillo,Trujillo,10178772100,El Canton?s,Chu Lou Manuel Alberto,9/04/2007,17/10/2024
Sabor Tumbesino,2202,ALIMENTOS Y BEBIDAS,220203,Restaurantes Pescados & Mariscos,220203,Restaurantes Pescados & Mariscos,Av. Faustino Piaggio 121,satumjph@hotmail.com,"",(+51) 946248804 / (+51) 972500816,24,2,1,Tumbes,Contralmirante Villar,Zorritos,20607140619,Sabor Tumbesino,JYJG Inversiones y Servicios S.A.C.,16/06/2022,1/10/2024
Recreo Las Brisas,2202,ALIMENTOS Y BEBIDAS,220208,Restaurantes Campestres y Centros Recreacionales,220208,Restaurantes Campestres y Centros Recreacionales,Calle Real S/N Chucllu,"","",937751364,12,4,24,Jun?n,Jauja,Panc?n,10206491103,Recreo Las Brisas,Martinez Palomino Vda de Barzola Irene Emma,16/10/2024,16/10/2024
R?stica,2202,ALIMENTOS Y BEBIDAS,220216,Restaurant & Bar,220216,Restaurant & Bar,AV. VICTOR LARCO 699 URB. LA MERCED,trujillolarco@rustica.com.pe,.,(044) 252155,13,1,1,La Libertad,Trujillo,Trujillo,20557123106,R?stica,FUNDACION CORPORACION RUSTICA,21/10/2024,21/10/2024
Restaurante Big Ben,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,"Los Geranios 263, Urb. California (a una cuadra del Colegio San Jos? Obrero)",reservas@bigbentrujillo.pe,www.bigbenhuanchaco.com,044-539880 / 973 119 450,13,1,1,La Libertad,Trujillo,Trujillo,20481493677,Restaurante Big Ben,Negocios de Playa S.A.C.,22/11/2005,17/10/2024
Artesanias La Illuada,2207,ARTESAN?A,220706,Tiendas Artesanales,220706,Tiendas Artesanales,Jr. Ayacucho 768,artesaniaslailluada@gmail.com,-,966154145 / 974830580,1,1,1,Amazonas,Chachapoyas,Chachapoyas,20610918272,Artesanias La Illuada,Artesanias La Illuada S.A.C,16/12/2023,30/10/2024
Hospital Bel?n de Trujillo,2208,SALUD,220801,Hospitales,220801,Hospitales,"Jir?n Bolivar 350, Trujillo 13001",direccion@hbt.gob.pe,https://www.hbt.gob.pe/,(044) 480200,13,1,1,La Libertad,Trujillo,Trujillo,20228257479,Hospital Bel?n de Trujillo,U.E. 403-SALUD TRUJILLO-SUR OESTE,17/10/2024,17/10/2024
Balvin Casas Javier Bladimir,2203,TRANSPORTE,220301,Terrestre,22030103,Taxis,Cl Marcavalle 971,yef_thefallenangel@hotmail.com,"",912883719 / 923804975,12,4,21,Jun?n,Jauja,Muquiyauyo,10703056411,Balvin Casas Javier Bladimir,Balvin Casas Javier Bladimir,21/10/2024,21/10/2024
Casa Amazonas,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220107,Hospedaje no Categorizado,220107,Hospedaje no Categorizado,Carretera Tambopata Km. 12 Sector Bajo Tambopata,vanessa@amazonyogacentre.com,www.amazonyogacentre.com,999697440,17,1,1,Madre de Dios,Tambopata,Tambopata,20600975766,Casa Amazonas,Amazon Yoga Centre E.I.R.L.,19/06/2024,14/10/2024
El Fayke Piurano,2202,ALIMENTOS Y BEBIDAS,220203,Restaurantes Pescados & Mariscos,220203,Restaurantes Pescados & Mariscos,Jr. Huancavelica 151-165,cevicheriafayke_1@hotmail.com,"",(01) 428-6697 / 900620841,15,1,1,Lima,Lima,Cercado de Lima,20521039168,El Fayke Piurano,Inversiones El Fayke Piurano E.I.R.L.,15/04/2013,10/10/2024
Kusina Pachacamac,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,"Parcela E-9, Lote 1, Ex Predio La C?sica",reservaciones@kusinapachacamac.com.pe,https://kusinapachacamac.com.pe/inicio,(01) 684-2066 / 965025773,15,1,23,Lima,Lima,Pachac?mac,20524404321,Kusina Pachacamac,Kusina Pachacamac SAC,13/10/2014,23/10/2024
HOSPITAL REGIONAL DOCENTE DE TRUJILLO,2208,SALUD,220801,Hospitales,220801,Hospitales,"Av. Mansiche 795, Trujillo 13011",mesapartes.hrdt@gmail.com,https://www.hrdt.gob.pe/site/,(044) 481200 / 983 856 669,13,1,1,La Libertad,Trujillo,Trujillo,20223149635,HOSPITAL REGIONAL DOCENTE DE TRUJILLO,HOSPITAL REGIONAL DOCENTE DE TRUJILLO,17/10/2024,17/10/2024
Levano Tours,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Jr.Los Andes S/N Lunahuan?-Ca?ete,levanotours_sport@hotmail.com,"",964356864,15,5,8,Lima,Ca?ete,Lunahuan?,10806048432,Levano Tours,Cesar Jhonny Cuzcano Levano,9/01/2023,29/10/2024
Benkawasi Experience,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220107,Hospedaje no Categorizado,220107,Hospedaje no Categorizado,Parque Santa Rosa 928,reservas@benkawasiexperience.com,"",970921418 / 941743941,2,1,1,?ncash,Huaraz,Huaraz,10102991163,Benkawasi Experience,Morales Irato Benjam?n Francisco,14/03/2013,16/10/2024
Cebicherias Piscis,2202,ALIMENTOS Y BEBIDAS,220203,Restaurantes Pescados & Mariscos,220203,Restaurantes Pescados & Mariscos,Av. Brigada Silva Ochoa 296,piscissanmiguel296@gmail.com,www.piscis.pe,(01) 566-2212 / 994115231,15,1,36,Lima,Lima,San Miguel,20603734131,Cebicherias Piscis,Piscis Buffet & Catering E.I.R.L.,20/10/2014,23/10/2024
Amazon Luxury Hotel,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220101,Hoteles,22010102,H.4 Estrellas,Jr. Santa Ana 332,amazonluxuryhotel@gmail.com,www.amazonluxuryhotel.negocio.site,(041) 635737 / 989998336,1,1,1,Amazonas,Chachapoyas,Chachapoyas,20611010746,Amazon Luxury Hotel,Corporaci?n Vicali S.A.C,21/10/2023,4/10/2024
Centro Cultural Victor Raul Haya de la Torre,2204,ENTRETENIMIENTO,220423,Centros culturales,220423,Centros culturales,Jr. Orbegoso # 652,.,https://fcbn.pe/sedes/trujillo/,(044) 290199,13,1,1,La Libertad,Trujillo,Trujillo,20516316412,Centro Cultural Victor Raul Haya de la Torre,FUNDACION CULTURAL DEL BANCO DE LA NACION - FCBN,29/10/2024,29/10/2024
Cusco Explorer's,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Cl. Jorge Ochoa 241,cuscoexplorer@yahoo.com: info@cusco-explorers.com,www.cusco-explorers.com,(084) 245443 / 984049005 / 984683577,8,1,6,Cusco,Cusco,Santiago,20450662586,Cusco Explorer's,Inversiones Cusco Explorer's E.I.R.L.,1/06/2021,7/10/2024
Transporte y Turismo Prado Hnos,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Av. Corpac 219,agenciadeviajesyturismoprado@gmail.com,"",989454954 / 986762101,5,1,16,Ayacucho,Huamanga,Andr?s Avelino C?ceres Dorregaray,20604061211,Transporte y Turismo Prado Hnos,Transporte y Turismo Prado Hnos S.R.L,24/10/2024,24/10/2024
Bona Nit,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220103,Hostales,22010301,Hs.3 Estrellas,Jr. Colon 257,reservas@bonanithostal.com,www.bonanithostal.com,(044) 298530 / 970 009 935,13,1,1,La Libertad,Trujillo,Trujillo,20477690603,Bona Nit,Inversiones Serrano Arribasplata,12/04/2013,2/10/2024
Pakary Travel Peru,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Cl. Lima S/N,info@pakarytravel.com,https://pakarytravel.com/,999121710,15,10,14,Lima,Yauyos,Huancaya,20600738764,Pakary Travel Peru,Pakary Travel Peru E.I.R.L,23/01/2023,31/10/2024
ALOHA RESTAURANT,2202,ALIMENTOS Y BEBIDAS,220203,Restaurantes Pescados & Mariscos,220203,Restaurantes Pescados & Mariscos,Av. Larco 400,chechitar21@gmail.com,.,980721058,13,1,4,La Libertad,Trujillo,Huanchaco,10181094970,ALOHA RESTAURANT,YSABEL MEJ?A CHU?E,23/06/2023,21/10/2024
Teatro V?ctor Ra?l Lozano Ib??ez,2204,ENTRETENIMIENTO,220410,Teatros,220410,Teatros,Av Am?rica Sur 3145 Urb. Monserrate,.,https://teatroupao.com/,915 349 019,13,1,1,La Libertad,Trujillo,Trujillo,20141878477,Teatro V?ctor Ra?l Lozano Ib??ez,UNIVERSIDAD PRIVADA ANTENOR ORREGO,22/10/2024,22/10/2024
Poller?a El Roble,2202,ALIMENTOS Y BEBIDAS,220217,Poller?a,220217,Poller?a,Jr. Andrea Arauco 125,"","",992305253,12,9,1,Jun?n,Chupaca,Chupaca,20610076492,Poller?a El Roble,CORPORACION EL ROBLE R.M. S.A.C.,29/10/2024,29/10/2024
Tracy's,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220107,Hospedaje no Categorizado,220107,Hospedaje no Categorizado,Jr. Bolivar 656,marilyn_mr@hotmail.com; tracyshospedaje11@gmail.com,"",982174585 / 984284170,19,3,1,Pasco,Oxapampa,Oxapampa,10106090730,Tracy's,Dominguez Mayer Ariceli,8/08/2011,19/10/2024
Inca's Discovery,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Urb. Micaela Bastidas C-7,info@incasdiscovery.com,www.incasdiscovery.com,984729614/ 967703911,8,1,1,Cusco,Cusco,Cusco,20600772202,Inca's Discovery,Inca's Discovery & Eco Lodges S.A.C.,7/10/2024,7/10/2024
Marterra Eco Experiences,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Virtual,begazoraa@gmail.com,"",986277170,18,3,1,Moquegua,Ilo,Ilo,20607070262,Marterra Eco Experiences,MARTERRA ECO EXPERIENCES EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,9/10/2024,9/10/2024
La Bohemia,2204,ENTRETENIMIENTO,220409,Bares/Pubs,220409,Bares/Pubs,Av. Prolongaci?n C?sar Vallejo Mz 8 lote 9 Urb. Los Jardines del Golf,.,.,964 177 435,13,1,11,La Libertad,Trujillo,V?ctor Larco Herrera,20608374613,La Bohemia,BOHEMIA RESTOBAR EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,22/10/2024,22/10/2024
Hospedaje Rosas Montenegro,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220107,Hospedaje no Categorizado,220107,Hospedaje no Categorizado,Jr. Sucre 780,greromo78@gmail.com,-,968423948,1,5,1,Amazonas,Luya,L?mud,10338145824,Hospedaje Rosas Montenegro,Gregorio Rosas Montenegro,24/10/2024,24/10/2024
Consettur Machupicchu,2203,TRANSPORTE,220301,Terrestre,22030102,Transporte tur?stico,Av. Infancia 433,info@consettur.com,www.consettur.com,(084) 222125 / (084) 211134,8,1,8,Cusco,Cusco,Wanchaq,20278362915,Consettur Machupicchu,Consettur Machupicchu S.A.C.,10/10/2013,15/10/2024
Pardo?s Chicken,2202,ALIMENTOS Y BEBIDAS,220217,Poller?a,220217,Poller?a,R?o Mantaro S/N B-11 C.C. Plaza San Miguel,reservasplaza@pardossanmiguel.com.pe,www.pardoschicken.pe,(01) 219-8000,15,1,36,Lima,Lima,San Miguel,20502301552,Pardo?s Chicken,Ursus Restaurante S.A.C.,19/06/2018,23/10/2024
KARAJ?A RUSTIK,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220107,Hospedaje no Categorizado,220107,Hospedaje no Categorizado,"Av. Alonso de Alvarado s/n, al ingreso del distrito de Huancas",mcvmore@hotmail.com ; ecotrinavilca@gmail.com,-,972609932,1,1,8,Amazonas,Chachapoyas,Huancas,10431862358,KARAJ?A RUSTIK,KARAJ?A RUSTIK,11/09/2023,4/10/2024
Restaurante La Leyenda,2202,ALIMENTOS Y BEBIDAS,220208,Restaurantes Campestres y Centros Recreacionales,220208,Restaurantes Campestres y Centros Recreacionales,Calle Real S/N Chucllu,"","",929237993,12,4,24,Jun?n,Jauja,Panc?n,10766106400,Restaurante La Leyenda,Camarena Lopez Jessica Rosalia,16/10/2024,16/10/2024
Rustica,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,CC. Real Plaza Centro C?vico - Av. Inca Garcilaso de la Vega 1337 Int. 2172,rustica@hellomarketing.pe,https://cartas.rclub.pe/tiendas,(01) 680 - 7070,15,1,1,Lima,Lima,Cercado de Lima,20557123106,Rustica,Fundaci?n Corporaci?n R?stica,10/02/2011,10/10/2024
Antigua Taberna Queirolo,2204,ENTRETENIMIENTO,220409,Bares/Pubs,220409,Bares/Pubs,Av. San Mart?n 1090,reservas@antiguatabernaqueirolo.com,www.antiguatabernaqueirolo.com,(01) 460-0441 / 965751282,15,1,21,Lima,Lima,Pueblo Libre,20100906105,Antigua Taberna Queirolo,Antigua Taberna Queirolo S.A.C.,13/10/2014,10/10/2024
Rustica,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,Playa Barranquito s/n Urb. Costa Verde,rustica@hellomarketing.pe,https://cartas.rclub.pe/tiendas,(01) 680 - 7070,15,1,4,Lima,Lima,Barranco,20557123106,Rustica,Fundaci?n Corporaci?n R?stica,10/02/2011,10/10/2024
Inkati Peru Travel,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Av. T?pac Amaru H-20,inkatiperu@gmail.com,www.inkariperutravel.com,940417004,8,1,8,Cusco,Cusco,Wanchaq,20606736194,Inkati Peru Travel,Inversiones Cusco Centro S.A.C.,7/10/2024,7/10/2024
Casa Campo by Cassana,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220103,Hostales,22010301,Hs.3 Estrellas,Urbanizaci?n Los Almendros 100,reservas@cassana.pe,www.cassana.pe,959923224,4,1,3,Arequipa,Arequipa,Cayma,20455680914,Casa Campo by Cassana,Vive Per? Travel Agency E.I.R.L.,4/10/2024,4/10/2024
Oxa Plaza,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220103,Hostales,22010303,Hs.1 Estrella,Jr. Bolognesi 288,reservas@hostaloxaplaza.com,"",(063) 283440 / 980491511,19,3,1,Pasco,Oxapampa,Oxapampa,20603105983,Oxa Plaza,Servicios Tur?sticos Oxa Plaza E.I.R.L.,26/07/2021,12/10/2024
Turmi Express,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Cl. Miguel Grau CPM Puerto Pizarro,turmiexpressviajesyturismo@gmail.com; lalyct24@gmail.com,"",946905510 / 964422082,24,1,1,Tumbes,Tumbes,Tumbes,20609721562,Turmi Express,Turmi Express Viajes y Turismo S.A.C.,26/07/2023,15/10/2024
Lima 141,2202,ALIMENTOS Y BEBIDAS,220228,Sangucher?a,220228,Sangucher?a,Jr. Huallaga 146,sangucherialima141@gmail.com,"",998195691,15,1,1,Lima,Lima,Cercado de Lima,20515695126,Lima 141,Ayu S.A.C.,13/09/2023,17/10/2024
Rosales Ingaroca Julio Cesar,2203,TRANSPORTE,220301,Terrestre,22030103,Taxis,Jr. Tahuantinsuyo 100,juliocesarrosalesingarola@gmail.com,"",942522309,12,4,1,Jun?n,Jauja,Jauja,10414641046,Rosales Ingaroca Julio Cesar,Rosales Ingaroca Julio Cesar,21/10/2024,21/10/2024
